Total Nacional;Comunidades y Ciudades Autónomas;Mes;Sexo;Total
Total Nacional;03 Asturias, Principado de;Febrero;Total;1.159
Total Nacional;03 Asturias, Principado de;Febrero;Hombres;550
Total Nacional;03 Asturias, Principado de;Febrero;Mujeres;609
Total Nacional;03 Asturias, Principado de;Marzo;Total;1.151
Total Nacional;03 Asturias, Principado de;Marzo;Hombres;568
Total Nacional;03 Asturias, Principado de;Marzo;Mujeres;583
Total Nacional;03 Asturias, Principado de;Abril;Total;1.038
Total Nacional;03 Asturias, Principado de;Abril;Hombres;495
Total Nacional;03 Asturias, Principado de;Abril;Mujeres;543
Total Nacional;03 Asturias, Principado de;Mayo;Total;1.039
Total Nacional;03 Asturias, Principado de;Mayo;Hombres;484
Total Nacional;03 Asturias, Principado de;Mayo;Mujeres;555
Total Nacional;03 Asturias, Principado de;Junio;Total;962
Total Nacional;03 Asturias, Principado de;Junio;Hombres;472
Total Nacional;03 Asturias, Principado de;Junio;Mujeres;490
Total Nacional;03 Asturias, Principado de;Julio;Total;976
Total Nacional;03 Asturias, Principado de;Julio;Hombres;498
Total Nacional;03 Asturias, Principado de;Julio;Mujeres;478
Total Nacional;03 Asturias, Principado de;Agosto;Total;1.039
Total Nacional;03 Asturias, Principado de;Agosto;Hombres;497
Total Nacional;03 Asturias, Principado de;Agosto;Mujeres;542
Total Nacional;03 Asturias, Principado de;Septiembre;Total;961
Total Nacional;03 Asturias, Principado de;Septiembre;Hombres;465
Total Nacional;03 Asturias, Principado de;Septiembre;Mujeres;496
Total Nacional;03 Asturias, Principado de;Octubre;Total;1.118
Total Nacional;03 Asturias, Principado de;Octubre;Hombres;526
Total Nacional;03 Asturias, Principado de;Octubre;Mujeres;592
Total Nacional;03 Asturias, Principado de;Noviembre;Total;1.119
Total Nacional;03 Asturias, Principado de;Noviembre;Hombres;523
Total Nacional;03 Asturias, Principado de;Noviembre;Mujeres;596
Total Nacional;03 Asturias, Principado de;Diciembre;Total;1.315
Total Nacional;03 Asturias, Principado de;Diciembre;Hombres;634
Total Nacional;03 Asturias, Principado de;Diciembre;Mujeres;681
Total Nacional;04 Balears, Illes;Total;Total;8.828
Total Nacional;04 Balears, Illes;Total;Hombres;4.648
Total Nacional;04 Balears, Illes;Total;Mujeres;4.180
Total Nacional;04 Balears, Illes;Enero;Total;984
Total Nacional;04 Balears, Illes;Enero;Hombres;510
Total Nacional;04 Balears, Illes;Enero;Mujeres;474
Total Nacional;04 Balears, Illes;Febrero;Total;715
Total Nacional;04 Balears, Illes;Febrero;Hombres;366
Total Nacional;04 Balears, Illes;Febrero;Mujeres;349
Total Nacional;04 Balears, Illes;Marzo;Total;727
Total Nacional;04 Balears, Illes;Marzo;Hombres;384
Total Nacional;04 Balears, Illes;Marzo;Mujeres;343
Total Nacional;04 Balears, Illes;Abril;Total;652
Total Nacional;04 Balears, Illes;Abril;Hombres;362
Total Nacional;04 Balears, Illes;Abril;Mujeres;290
Total Nacional;04 Balears, Illes;Mayo;Total;642
Total Nacional;04 Balears, Illes;Mayo;Hombres;327
Total Nacional;04 Balears, Illes;Mayo;Mujeres;315
Total Nacional;04 Balears, Illes;Junio;Total;644
Total Nacional;04 Balears, Illes;Junio;Hombres;334
Total Nacional;04 Balears, Illes;Junio;Mujeres;310
Total Nacional;04 Balears, Illes;Julio;Total;689
Total Nacional;04 Balears, Illes;Julio;Hombres;370
Total Nacional;04 Balears, Illes;Julio;Mujeres;319
Total Nacional;04 Balears, Illes;Agosto;Total;795
Total Nacional;04 Balears, Illes;Agosto;Hombres;409
Total Nacional;04 Balears, Illes;Agosto;Mujeres;386
Total Nacional;04 Balears, Illes;Septiembre;Total;683
Total Nacional;04 Balears, Illes;Septiembre;Hombres;369
Total Nacional;04 Balears, Illes;Septiembre;Mujeres;314
Total Nacional;04 Balears, Illes;Octubre;Total;702
Total Nacional;04 Balears, Illes;Octubre;Hombres;405
Total Nacional;04 Balears, Illes;Octubre;Mujeres;297
Total Nacional;04 Balears, Illes;Noviembre;Total;714
Total Nacional;04 Balears, Illes;Noviembre;Hombres;366
Total Nacional;04 Balears, Illes;Noviembre;Mujeres;348
Total Nacional;04 Balears, Illes;Diciembre;Total;881
Total Nacional;04 Balears, Illes;Diciembre;Hombres;446
Total Nacional;04 Balears, Illes;Diciembre;Mujeres;435
Total Nacional;05 Canarias;Total;Total;17.178
Total Nacional;05 Canarias;Total;Hombres;9.169
Total Nacional;05 Canarias;Total;Mujeres;8.009
Total Nacional;05 Canarias;Enero;Total;1.555
Total Nacional;05 Canarias;Enero;Hombres;861
Total Nacional;05 Canarias;Enero;Mujeres;694
Total Nacional;05 Canarias;Febrero;Total;1.364
Total Nacional;05 Canarias;Febrero;Hombres;751
Total Nacional;05 Canarias;Febrero;Mujeres;613
Total Nacional;05 Canarias;Marzo;Total;1.480
Total Nacional;05 Canarias;Marzo;Hombres;783
Total Nacional;05 Canarias;Marzo;Mujeres;697
Total Nacional;05 Canarias;Abril;Total;1.433
Total Nacional;05 Canarias;Abril;Hombres;773
Total Nacional;05 Canarias;Abril;Mujeres;660
Total Nacional;05 Canarias;Mayo;Total;1.289
Total Nacional;05 Canarias;Mayo;Hombres;689
Total Nacional;05 Canarias;Mayo;Mujeres;600
Total Nacional;05 Canarias;Junio;Total;1.282
Total Nacional;05 Canarias;Junio;Hombres;697
Total Nacional;05 Canarias;Junio;Mujeres;585
Total Nacional;05 Canarias;Julio;Total;1.350
Total Nacional;05 Canarias;Julio;Hombres;707
Total Nacional;05 Canarias;Julio;Mujeres;643
Total Nacional;05 Canarias;Agosto;Total;1.566
Total Nacional;05 Canarias;Agosto;Hombres;829
Total Nacional;05 Canarias;Agosto;Mujeres;737
Total Nacional;05 Canarias;Septiembre;Total;1.387
Total Nacional;05 Canarias;Septiembre;Hombres;699
Total Nacional;05 Canarias;Septiembre;Mujeres;688
Total Nacional;05 Canarias;Octubre;Total;1.353
Total Nacional;05 Canarias;Octubre;Hombres;719
Total Nacional;05 Canarias;Octubre;Mujeres;634
Total Nacional;05 Canarias;Noviembre;Total;1.472
Total Nacional;05 Canarias;Noviembre;Hombres;767
Total Nacional;05 Canarias;Noviembre;Mujeres;705
Total Nacional;05 Canarias;Diciembre;Total;1.647
